"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3369678,"December 4, 2025",Pennsylvania,Philadelphia,"2600 block of Muhfeld St",1,0,0,0,0,N/A
3369670,"December 4, 2025",Arizona,Tucson,"1100 block of W Sonora St",1,1,0,0,0,N/A
3369664,"December 4, 2025",Pennsylvania,Philadelphia,"50 block of Reger St",0,1,0,0,0,N/A
3369118,"December 4, 2025",Florida,Tallahassee,N/A,1,0,0,0,1,N/A
3369342,"December 4, 2025",Kansas,Topeka,"2200 block of SW Tara Ave",0,3,0,0,0,N/A
3369258,"December 4, 2025","North Carolina","Rocky Mount","1100 block of Pinehurst Dr",1,0,0,0,1,N/A
3369042,"December 4, 2025",Indiana,Indianapolis,"4200 block of Burkhart Dr",1,0,0,0,0,N/A
3369611,"December 4, 2025",Arizona,Phoenix,"Central Ave and Sunland Ave",0,1,0,0,0,N/A
3369024,"December 4, 2025",Louisiana,"Port Barre",N/A,0,0,1,0,0,N/A
3369593,"December 4, 2025",Florida,"Fort Pierce","2600 block of Grey Twig Ln",0,1,0,0,0,N/A
3369587,"December 4, 2025",California,Oakland,"5900 block of Market St",1,0,0,0,0,N/A
3368985,"December 4, 2025",Louisiana,Alexandria,"2000 block of Hill St",0,1,0,0,0,N/A
3368974,"December 4, 2025","North Carolina",Charlotte,"4820 Tuckaseegee Rd",1,0,0,0,0,N/A
3369576,"December 4, 2025",California,"South Gate","Alhambra Ave and Paramount Blvd",0,0,1,0,0,N/A
3368969,"December 4, 2025",California,Modesto,"300 block of Bruce Ave",0,1,0,0,1,N/A
3369271,"December 4, 2025","South Carolina",Johnsonville,"300 block of Liberty St",0,1,0,0,1,N/A
3369539,"December 4, 2025","South Carolina",Olanta,"N Jones Rd",0,0,0,2,0,N/A
3369691,"December 4, 2025",Texas,Houston,"119 W Dyna Dr",1,0,0,0,0,N/A
3369090,"December 4, 2025",Nebraska,Lincoln,"1001 S 13th St",1,1,0,0,1,N/A
3368922,"December 4, 2025",Michigan,Detroit,"14511 Houston Whittier St",1,1,0,0,0,N/A
3368920,"December 4, 2025",Alabama,Mobile,"1567 E Dublin St",0,0,0,0,1,N/A
3369451,"December 4, 2025",Nevada,"Las Vegas","730 S Rampart Blvd",1,0,0,0,0,N/A
3369609,"December 4, 2025",Arizona,Phoenix,"1400 block of N 2nd St",1,0,0,0,0,N/A
3369600,"December 4, 2025",Florida,"Saint Augustine","400 block of Lena St",0,2,0,0,1,N/A
3369180,"December 4, 2025",Texas,"San Antonio","Alexander Hamilton Dr and Wine Cup Dr",1,0,0,0,1,N/A
3369333,"December 4, 2025",Texas,"San Antonio","7400 Merton Minter",1,0,0,0,0,N/A
3369325,"December 4, 2025",Minnesota,"Grove City","54900 block of County Rd 16",0,1,0,0,1,N/A
3369321,"December 4, 2025",Minnesota,"Saint Paul","900 block of Edgerton St",1,0,0,0,0,N/A
3369290,"December 4, 2025",Texas,"Port Arthur","3400 block of 9th St",0,2,0,0,0,N/A
3369287,"December 4, 2025",Michigan,Detroit,"19016 Woodward Ave",1,0,0,0,0,N/A
3369169,"December 4, 2025",Tennessee,"Johnson City","1405 Lester Harris Rd",0,0,0,0,1,N/A
3369172,"December 4, 2025",Tennessee,"Silver Point","Smithville Hwy and Captain Point",1,0,0,0,0,N/A
3369949,"December 4, 2025",Indiana,"Fort Wayne","6700 Lafayette St",0,3,0,0,0,N/A
3369815,"December 4, 2025",Indiana,Indianapolis,"5620 E Washington St",1,0,1,0,0,N/A
3369757,"December 4, 2025",Virginia,"Stuarts Draft","Ox Rd",0,1,0,0,0,N/A
